Date,Clicks,Impressions,CTR,Position
2026-09-13,4,178,2.25%,12.0
2026-09-14,0,213,0%,11.0
2026-09-15,3,214,1.4%,9.7
2026-09-16,7,246,2.85%,14.9
2026-09-17,3,206,1.46%,11.6
2026-09-18,3,185,1.62%,10.4
2026-09-19,2,197,1.02%,10.8
