Period,Generative AI Impressions,Clicks,CTR,Position
Last 24 hours (20-Sep to 21-Sep 2026),39,Not available (GSC tracks impressions only),Not available,Not available
Last 7 days (13-Sep to 19-Sep 2026),167,Not available,Not available,Not available
Last 28 days (23-Aug to 19-Sep 2026),301,Not available,Not available,Not available
Last 3 months / Full Period (13-Aug to 19-Sep 2026),311,Not available,Not available,Not available
